from_ensembl	to_ensembl
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000232312'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000160948'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000206357'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000100897'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000105856'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000204681'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000234114'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000274495'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000292209'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000100949'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000285360'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000277258'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000226936'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291939'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000280830'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000276701'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000285321'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000282899'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000258986'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000234475'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000226704'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000212866'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000276262'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000183309'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000284260'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000127561'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291930'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291936'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291931'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000281309'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000292097'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000196350'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000226103'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291754'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000023228'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000176454'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291729'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000099958'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000236342'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000285241'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000072818'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000103326'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000288292'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000275932'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000136699'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000282854'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000187867'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000136319'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000275543'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000292215'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000277594'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000104529'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000130772'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000168918'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000236346'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000165943'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000012963'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000229176'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000284816'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000159128'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000226417'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291873'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000140459'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000281459'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000292221'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000236104'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000102096'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000117115'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000130023'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000278303'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000262139'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000277273'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000005700'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000132003'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000281022'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000042445'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000147804'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291987'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000274768'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000230791'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000227507'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000230279'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000185880'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000276358'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000274205'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000120645'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000285383'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000227715'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000115085'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000276341'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000126603'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000172137'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291662'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000255181'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000288293'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000172058'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000276739'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000288512'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000261992'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000243279'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000282230'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000282937'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000146242'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000128011'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000101251'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000198848'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000284889'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000092098'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000204538'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000275832'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000280618'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000139908'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000288399'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000259224'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000227144'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000187862'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000284916'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000292279'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000284495'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000292234'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000275746'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000163602'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000103489'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000280477'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000285199'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000213903'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000054392'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000288335'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000275555'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000281216'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000053918'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000181031'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000197822'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000291917'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000276799'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000276920'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000288216'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000285069'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000278488'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000148303'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000291836'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000206495'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000277791'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000284792'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000111845'}
{'gene': 'ENSG00000277600'}	{'gene': 'ENSG00000281089'}
