t,alpha_bar,alpha_bar_lambda_max,r_ode_lincomb,r_cellunet
423,0.1597787786891977,7.5690513145021265,0.9999356,6.4373016e-05
424,0.15841330188933883,7.504365853443506,0.9999323,6.771088e-05
425,0.15705633893679846,7.440083710946753,0.99992883,7.1167946e-05
426,0.15570787113303208,7.376204001223124,0.99992514,7.4863434e-05
427,0.15436787943162578,7.312725822004591,0.9999213,7.867813e-05
428,0.1530363444427867,7.249648254756547,0.99991727,8.273125e-05
429,0.15171324643782938,7.186970364890349,0.999913,8.702278e-05
430,0.15039856535365756,7.124691201975614,0.99990857,9.1433525e-05
431,0.14909228079724052,7.062809799952289,0.9999039,9.608269e-05
432,0.147794372050084,7.001325177342434,0.9998989,0.00010108948
433,0.14650481807269486,6.940236337461731,0.9998938,0.00010621548
434,0.1452235975090391,6.879542268630665,0.9998883,0.000111699104
435,0.1439506886909929,6.819241944385382,0.9998826,0.00011742115
436,0.14268606964278593,6.759334323688176,0.9998766,0.00012338161
437,0.1414297180854367,6.699818351137599,0.9998703,0.0001296997
438,0.1401816114411794,6.6406929571781745,0.9998636,0.00013637543
439,0.13894172683788186,6.58195705830968,0.9998566,0.00014340878
440,0.13771004111345383,6.523609557295981,0.9998493,0.00015068054
441,0.13648653082024584,6.4656493433734115,0.9998416,0.00015842915
442,0.13527117222943735,6.4080752924586495,0.99983346,0.00016653538
443,0.13406394133541455,6.350886267356102,0.99982494,0.00017505884
444,0.13286481386013668,6.29408111796475,0.999816,0.00018399954
445,0.13167376525749097,6.237658681484449,0.99980646,0.00019353628
446,0.13049077071763554,6.181617782621657,0.99979657,0.00020343065
447,0.12931580517132996,6.125957233794592,0.9997862,0.00021380186
448,0.12814884329425283,6.070675835337754,0.99977523,0.00022476912
449,0.1269898595113063,6.015772375705845,0.99976367,0.00023633242
450,0.12583882800090698,5.961245631677038,0.9997515,0.00024849176
451,0.1246957226992627,5.9070943685555735,0.99973875,0.00026124716
452,0.12356051730463509,5.853317340373689,0.9997254,0.0002745986
453,0.12243318528158721,5.799913290092838,0.99971133,0.0002886653
454,0.12131369986521619,5.746880949804196,0.9996966,0.00030338764
455,0.12020203406537021,5.6942190409284335,0.999681,0.00031900406
456,0.11909816067084976,5.64192627441473,0.99966466,0.00033533573
457,0.11800205225359257,5.59000135093903,0.9996475,0.00035250187
458,0.116913681172842,5.538442961101505,0.9996294,0.00037062168
459,0.11583301957929844,5.4872497856232165,0.9996105,0.00038951635
460,0.11476003941925353,5.436420495541957,0.99959046,0.0004095435
