annotation,label,real_fraction,generated_fraction,difference,timestep
celltype,Venous lymphatic-like - non-leptomeningeal,0.0006827201613006138,0.0,-0.0006827201613006138,999
celltype,Ventral forebrain radial glia,0.00283296964128479,0.0,-0.00283296964128479,999
Superclass,Epithelial,0.04417263249237523,0.0,-0.04417263249237523,900
Superclass,Erythropoietic,0.2337774204662915,0.0,-0.2337774204662915,900
Superclass,Fibroblast,0.45721194951699146,1.0,0.5427880504830085,900
Superclass,Immune,0.05434324872707783,0.0,-0.05434324872707783,900
Superclass,Neural,0.0752906346107219,0.0,-0.0752906346107219,900
Superclass,Neural crest,0.041090820923139745,0.0,-0.041090820923139745,900
Superclass,Other,0.0009507037760167426,0.0,-0.0009507037760167426,900
Superclass,Vascular endothelial,0.04750966655181654,0.0,-0.04750966655181654,900
Superclass,Vascular perivascular,0.04565292293556908,0.0,-0.04565292293556908,900
celltype,Anteromedial cerebral pole glioblast,0.0011421206436711203,0.0,-0.0011421206436711203,900
celltype,Anteromedial cerebral pole radial glia,0.001837601929482026,0.0,-0.001837601929482026,900
celltype,Arachnoid,0.00877965366308079,0.0,-0.00877965366308079,900
celltype,Arachnoid barrier,0.0032285645011038374,0.0,-0.0032285645011038374,900
celltype,Arachnoid-dura border,0.0011165983946505365,0.0,-0.0011165983946505365,900
celltype,Arachnoid-forebrain,0.013016347000497685,0.0,-0.013016347000497685,900
celltype,Arachnoid-hindbrain,0.019530901063001673,0.0,-0.019530901063001673,900
celltype,Arterial capillary,0.004574863136939627,0.0,-0.004574863136939627,900
celltype,Arteriole,0.0028521113280502277,0.0,-0.0028521113280502277,900
celltype,Artery,0.006201906512001838,0.0,-0.006201906512001838,900
celltype,B lineage,0.00016589461863379402,0.0,-0.00016589461863379402,900
celltype,CD56-bright NK cells,0.0005933922897285709,0.0,-0.0005933922897285709,900
celltype,ChP Ciliogenic progenitor,0.017163712466342535,0.0,-0.017163712466342535,900
celltype,ChP Committed arachnoid precursor,0.0005359672294322575,0.0,-0.0005359672294322575,900
celltype,ChP Differentiated epithelia,0.029861031354082922,0.0,-0.029861031354082922,900
celltype,ChP Epithelia,0.0022012939780253434,0.0,-0.0022012939780253434,900
celltype,ChP Epithelial progenitor,0.0011995457039674336,0.0,-0.0011995457039674336,900
celltype,ChP Fibroblast,0.0008677564666998456,0.0,-0.0008677564666998456,900
celltype,ChP Macrophage,0.0003573114862881717,0.0,-0.0003573114862881717,900
celltype,ChP Macrophages,0.001595140563786481,0.0,-0.001595140563786481,900
celltype,ChP Meningeal fibroblast,0.020526268774804436,0.0,-0.020526268774804436,900
celltype,ChP Microglia,0.0012824930132843307,0.0,-0.0012824930132843307,900
celltype,ChP PTPRC+ fibroblast,0.015645138649617803,0.0,-0.015645138649617803,900
celltype,ChP Pericyte,0.006833582175261284,0.0,-0.006833582175261284,900
celltype,ChP Perivascular,0.0063933233796562156,0.0,-0.0063933233796562156,900
celltype,ChP Reticulocyte/RBC,0.004989599683524112,0.0,-0.004989599683524112,900
celltype,Chondrocyte,0.002826589079029644,0.0,-0.002826589079029644,900
celltype,Chondrogenic,0.05543432487270778,0.4036666666666667,0.3482323417939589,900
celltype,Committed arachnoid precursor,0.005436239041384327,0.0,-0.005436239041384327,900
celltype,Committed arachnoid precursor-forebrain,0.03382336051452854,0.0,-0.03382336051452854,900
celltype,Committed arachnoid precursor-pia junction,0.018235646925207048,0.0,-0.018235646925207048,900
celltype,Committed dura precursor,0.0016461850618276483,0.0,-0.0016461850618276483,900
celltype,Committed dura precursor-early,0.0008486147799344078,0.0,-0.0008486147799344078,900
celltype,Committed dura precursor-forebrain,0.011797659609764812,0.0,-0.011797659609764812,900
celltype,Committed oligodendrocyte progenitor,0.0001403723696132103,0.0,-0.0001403723696132103,900
celltype,Committed pia precursor,0.02905069994767939,0.498,0.4689493000523206,900
celltype,Committed pia precursor-anterior,0.015160215918226715,0.0,-0.015160215918226715,900
celltype,Cycling erythroblast,0.02036675471842579,0.0,-0.02036675471842579,900
celltype,Dendritic cells,0.0017355129333996911,0.0,-0.0017355129333996911,900
celltype,Early precursor/BFU-E,0.011012850452381864,0.0,-0.011012850452381864,900
celltype,Endothelial,0.0005614894784528412,0.0,-0.0005614894784528412,900
celltype,Erythroblast,0.07007133468601254,0.0,-0.07007133468601254,900
celltype,Fatty acid metabolic - non-leptomeningeal,0.0020673021706672794,0.0,-0.0020673021706672794,900
celltype,Fibroblast-TAGAP,0.014120184270637928,0.0,-0.014120184270637928,900
celltype,Forebrain hem radial glia,0.0004976838559013821,0.0,-0.0004976838559013821,900
celltype,Forebrain neuroblast,0.0006635784745351761,0.0,-0.0006635784745351761,900
celltype,Forebrain neuron,0.00033178923726758804,0.0,-0.00033178923726758804,900
celltype,Forebrain progenitor,0.013871342342687238,0.0,-0.013871342342687238,900
celltype,Forebrain radial glia,0.0004849227313910902,0.0,-0.0004849227313910902,900
celltype,Hindbrain,0.007465257838520731,0.0,-0.007465257838520731,900
celltype,Hindbrain epithelia,0.0018056991182062963,0.0,-0.0018056991182062963,900
celltype,Hindbrain glioblast,0.001837601929482026,0.0,-0.001837601929482026,900
celltype,Hypothalamus interneuron,0.0008613759044446996,0.0,-0.0008613759044446996,900
celltype,ILC precursors,0.0005168255426668198,0.0,-0.0005168255426668198,900
celltype,Inner dura,0.007139849163508289,0.0,-0.007139849163508289,900
celltype,Isthmus radial glia,0.00023608080344039917,0.0,-0.00023608080344039917,900
celltype,LTMR mechanoreceptor,0.00034455036177787984,0.0,-0.00034455036177787984,900
celltype,Large artery,0.00030626698824700433,0.0,-0.00030626698824700433,900
celltype,MEMP-MEP,0.00012123068284777255,0.0,-0.00012123068284777255,900
celltype,Macrophages,0.017935760499215192,0.0003333333333333333,-0.017602427165881857,900
celltype,Macrophages Monocyte-like,0.012467618646555134,0.001,-0.011467618646555135,900
celltype,Macrophages-innate immunity,0.00010208899608233478,0.0,-0.00010208899608233478,900
celltype,Macrophages-iron metabolism,0.0066294041830966145,0.0,-0.0066294041830966145,900
celltype,Mast cells,0.000504064418156528,0.0,-0.000504064418156528,900
celltype,Megakaryocytes,0.0006380562255145924,0.0,-0.0006380562255145924,900
celltype,Metamyelocytes,0.0013143958245600603,0.0,-0.0013143958245600603,900
celltype,Microglia,0.0014356265074078327,0.0,-0.0014356265074078327,900
celltype,Midbrain hem epithelia,0.0030562893202148974,0.0,-0.0030562893202148974,900
celltype,Midbrain hem progenitor,0.0016142822505519187,0.0,-0.0016142822505519187,900
celltype,Midbrain hem radial glia,0.004574863136939627,0.0,-0.004574863136939627,900
celltype,Midbrain intermediate progenitor,0.0034263619310133608,0.0,-0.0034263619310133608,900
celltype,Midbrain interneuron,0.0006380562255145924,0.0,-0.0006380562255145924,900
celltype,Midbrain neuroblast,0.00214386891772903,0.0,-0.00214386891772903,900
celltype,Midbrain progenitor,0.002424613656955451,0.0,-0.002424613656955451,900
celltype,Midbrain-hindbrain epithelia,0.0031137143805112107,0.0,-0.0031137143805112107,900
celltype,Midbrain-hindbrain progenitor,0.0072419381595906235,0.0,-0.0072419381595906235,900
celltype,Monocyte-fibrocyte,0.0003764531730536095,0.0,-0.0003764531730536095,900
celltype,Monocytes,0.005895639523754833,0.0,-0.005895639523754833,900
celltype,Neural crest progenitor,0.0021757717290047597,0.0,-0.0021757717290047597,900
celltype,Oligodendrocyte progenitor,0.00010208899608233478,0.0,-0.00010208899608233478,900
celltype,Optic nerve (sensory),0.0005104449804116739,0.0,-0.0005104449804116739,900
celltype,Optic vesicle epithelia,0.00018503630539923178,0.0,-0.00018503630539923178,900
